ID,brand,model,make,unit_price
1,Bajaj,CRV,Japan,725000
2,TVS,Apache,German,925600
3,Bajaj,CRV,Japan,725000
4,Yamaha,FZ,Japan,560000
5,Honda,CBR,USA,630000
6,Yamaha,Apache1,UK,300000
7,TVS,Apache2,German-2,990264
8,TVS,Apache2,German-2,190264
9,Honda,Gracier,Indian,310000
10,Hero,Passion,India,450000
11,TVS,Jupiter,India,80000
12,Honda,Gracier,Indian,310000
13,Bajaj,CRV,Japan,725000
14,Suzuki,Gixxer,India,140000
15,Yamaha,Apache1,UK,300000
16,TVS,Jupiter,India,80000
17,Hero,Glamour,India,87000
18,Bajaj,Pulsar,India,80000
19,Honda,Gracier,Indian,310000
20,Suzuki,Burgman,India,87000
21,Yamaha,Fascino,India,75000
22,TVS,XL100,India,45000
23,Honda,Hornet,India,120000
24,Suzuki,Access,India,70000
25,Bajaj,Chetak,India,130000
26,Yamaha,Aerox,India,120000
27,TVS,Radeon,India,80000
28,Hero,Destini,India,70000
29,Honda,Shine,India,75000
30,Suzuki,Intruder,India,150000
31,Bajaj,V15,India,65000
32,Yamaha,MT15,India,145000
33,TVS,Victor,India,65000
34,Hero,Maestro,India,70000
35,Honda,Grazia,India,85000
36,Bajaj,Dominar,India,175000
37,Yamaha,XSR155,India,160000
38,Suzuki,Hayate,India,60000
39,Hero,Hunk,India,90000
40,Honda,XBlade,India,105000
41,Bajaj,Platina,India,50000
42,Yamaha,FZ-S,India,100000
43,TVS,Sport,India,55000
44,Honda,Livo,India,72000
45,Suzuki,GS150R,India,70000
46,Yamaha,Saluto,India,65000
47,Bajaj,Pulsar 125,India,70000
48,Hero,Xtreme,India,110000
49,Honda,Hornet 2.0,India,130000
50,Yamaha,FZ 25,India,155000
51,TVS,Star City,India,62000
52,Bajaj,Discover 125,India,65000
53,Honda,Dream Yuga,India,56000
54,Yamaha,RayZR,India,75000
55,Suzuki,Slingshot,India,70000
56,Hero,Achiever,India,65000
57,Honda,Dream Neo,India,54000
58,Bajaj,CT100,India,40000
59,Yamaha,Alpha,India,57000
60,Suzuki,Zeus,India,60000
61,TVS,Wego,India,60000
62,Honda,Navi,India,45000
63,Yamaha,Crux,India,50000
64,Bajaj,XCD,India,45000
65,Hero,HF Deluxe,India,48000
66,Honda,Unicorn,India,95000
67,Yamaha,Enticer,India,70000
68,Suzuki,Max100R,India,55000
69,TVS,XL Heavy Duty,India,40000
70,Bajaj,Pulsar 150,India,95000
71,Yamaha,Gladiator,India,70000
72,Honda,Trigger,India,80000
73,Suzuki,Shogun,India,60000
74,Hero,Karat,India,70000
75,Bajaj,Wind 125,India,50000
76,Yamaha,SS125,India,62000
77,Honda,CD 110,India,50000
78,Suzuki,Samurai,India,60000
79,TVS,Zest,India,50000
80,Hero,Impulse,India,80000
81,Bajaj,Kristal,India,42000
82,Yamaha,FZ FI,India,96000
83,Honda,Activa 125,India,80000
84,Suzuki,GN125,India,85000
85,Bajaj,Eliminator,India,150000
86,Yamaha,RX100,India,65000
87,TVS,Streak,India,48000
88,Honda,Dream Neo,India,56000
89,Bajaj,Super,India,52000
90,Yamaha,RX135,India,70000
91,Honda,C90,India,65000
92,Suzuki,GN250,India,160000
93,TVS,Streak,India,48000
94,Hero,CBZ,India,80000
95,Bajaj,Boxer,India,45000
96,Yamaha,Maxim,India,160000
97,Honda,MB5,India,58000
98,Suzuki,Katana,India,190000
99,TVS,Apache RTR 160,India,90000
100,Yamaha,XTZ 150,India,110000
